Function name	Segment	Start	Length	Locals	Arguments	R	F	L	S	B	T	=
VOP_POLL_AP	LOAD	FFFFFFFF8229D900	00000013			R	.	.	.	.	.	.
VOP_POLL_APV	LOAD	FFFFFFFF8229D920	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_KQFILTER_AP	LOAD	FFFFFFFF8229D9C0	00000013			R	.	.	.	.	.	.
VOP_KQFILTER_APV	LOAD	FFFFFFFF8229D9E0	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_REVOKE_AP	LOAD	FFFFFFFF8229DA80	00000013			R	.	.	.	.	.	.
VOP_REVOKE_APV	LOAD	FFFFFFFF8229DAA0	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_FSYNC_AP	LOAD	FFFFFFFF8229DB40	00000013			R	.	.	.	.	.	.
VOP_FSYNC_APV	LOAD	FFFFFFFF8229DB60	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_REMOVE_AP	LOAD	FFFFFFFF8229DC00	00000013			R	.	.	.	.	.	.
VOP_REMOVE_APV	LOAD	FFFFFFFF8229DC20	0000009C	00000018	00000000	R	.	.	.	B	.	.
VOP_LINK_AP	LOAD	FFFFFFFF8229DCC0	00000013			R	.	.	.	.	.	.
VOP_LINK_APV	LOAD	FFFFFFFF8229DCE0	0000009C	00000018	00000000	R	.	.	.	B	.	.
VOP_RENAME_AP	LOAD	FFFFFFFF8229DD80	00000013			R	.	.	.	.	.	.
VOP_RENAME_APV	LOAD	FFFFFFFF8229DDA0	000000A4	00000018	00000000	R	.	.	.	B	.	.
VOP_MKDIR_AP	LOAD	FFFFFFFF8229DE50	00000013			R	.	.	.	.	.	.
VOP_MKDIR_APV	LOAD	FFFFFFFF8229DE70	0000009C	00000018	00000000	R	.	.	.	B	.	.
VOP_RMDIR_AP	LOAD	FFFFFFFF8229DF10	00000013			R	.	.	.	.	.	.
VOP_RMDIR_APV	LOAD	FFFFFFFF8229DF30	0000009C	00000018	00000000	R	.	.	.	B	.	.
VOP_SYMLINK_AP	LOAD	FFFFFFFF8229DFD0	00000013			R	.	.	.	.	.	.
VOP_SYMLINK_APV	LOAD	FFFFFFFF8229DFF0	0000009C	00000018	00000000	R	.	.	.	B	.	.
VOP_READDIR_AP	LOAD	FFFFFFFF8229E090	00000013			R	.	.	.	.	.	.
VOP_READDIR_APV	LOAD	FFFFFFFF8229E0B0	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_READLINK_AP	LOAD	FFFFFFFF8229E150	00000013			R	.	.	.	.	.	.
VOP_READLINK_APV	LOAD	FFFFFFFF8229E170	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_INACTIVE_AP	LOAD	FFFFFFFF8229E210	00000013			R	.	.	.	.	.	.
VOP_INACTIVE_APV	LOAD	FFFFFFFF8229E230	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_RECLAIM_AP	LOAD	FFFFFFFF8229E2D0	00000013			R	.	.	.	.	.	.
VOP_RECLAIM_APV	LOAD	FFFFFFFF8229E2F0	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_LOCK1_AP	LOAD	FFFFFFFF8229E390	00000013			R	.	.	.	.	.	.
VOP_LOCK1_APV	LOAD	FFFFFFFF8229E3B0	000000A4	00000018	00000000	R	.	.	.	B	.	.
VOP_UNLOCK_AP	LOAD	FFFFFFFF8229E460	00000013			R	.	.	.	.	.	.
VOP_UNLOCK_APV	LOAD	FFFFFFFF8229E480	000000A4	00000018	00000000	R	.	.	.	B	.	.
VOP_BMAP_AP	LOAD	FFFFFFFF8229E530	00000013			R	.	.	.	.	.	.
VOP_BMAP_APV	LOAD	FFFFFFFF8229E550	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_STRATEGY_AP	LOAD	FFFFFFFF8229E5F0	00000013			R	.	.	.	.	.	.
VOP_STRATEGY_APV	LOAD	FFFFFFFF8229E610	0000009A	00000018	00000000	R	.	.	.	B	.	.
VOP_GETWRITEMOUNT_AP	LOAD	FFFFFFFF8229E6B0	00000013			R	.	.	.	.	.	.
VOP_GETWRITEMOUNT_APV	LOAD	FFFFFFFF8229E6D0	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_PRINT_AP	LOAD	FFFFFFFF8229E770	00000013			R	.	.	.	.	.	.
VOP_PRINT_APV	LOAD	FFFFFFFF8229E790	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_PATHCONF_AP	LOAD	FFFFFFFF8229E830	00000013			R	.	.	.	.	.	.
VOP_PATHCONF_APV	LOAD	FFFFFFFF8229E850	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_ADVLOCK_AP	LOAD	FFFFFFFF8229E8F0	00000013			R	.	.	.	.	.	.
VOP_ADVLOCK_APV	LOAD	FFFFFFFF8229E910	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_ADVLOCKASYNC_AP	LOAD	FFFFFFFF8229E9B0	00000013			R	.	.	.	.	.	.
VOP_ADVLOCKASYNC_APV	LOAD	FFFFFFFF8229E9D0	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_ADVLOCKPURGE_AP	LOAD	FFFFFFFF8229EA70	00000013			R	.	.	.	.	.	.
VOP_ADVLOCKPURGE_APV	LOAD	FFFFFFFF8229EA90	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_REALLOCBLKS_AP	LOAD	FFFFFFFF8229EB30	00000013			R	.	.	.	.	.	.
VOP_REALLOCBLKS_APV	LOAD	FFFFFFFF8229EB50	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_GETPAGES_AP	LOAD	FFFFFFFF8229EBF0	00000013			R	.	.	.	.	.	.
VOP_GETPAGES_APV	LOAD	FFFFFFFF8229EC10	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_PUTPAGES_AP	LOAD	FFFFFFFF8229ECB0	00000013			R	.	.	.	.	.	.
VOP_PUTPAGES_APV	LOAD	FFFFFFFF8229ECD0	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_GETACL_AP	LOAD	FFFFFFFF8229ED70	00000013			R	.	.	.	.	.	.
VOP_GETACL_APV	LOAD	FFFFFFFF8229ED90	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_SETACL_AP	LOAD	FFFFFFFF8229EE30	00000013			R	.	.	.	.	.	.
VOP_SETACL_APV	LOAD	FFFFFFFF8229EE50	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_ACLCHECK_AP	LOAD	FFFFFFFF8229EEF0	00000013			R	.	.	.	.	.	.
VOP_ACLCHECK_APV	LOAD	FFFFFFFF8229EF10	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_CLOSEEXTATTR_AP	LOAD	FFFFFFFF8229EFB0	00000013			R	.	.	.	.	.	.
VOP_CLOSEEXTATTR_APV	LOAD	FFFFFFFF8229EFD0	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_GETEXTATTR_AP	LOAD	FFFFFFFF8229F070	00000013			R	.	.	.	.	.	.
VOP_GETEXTATTR_APV	LOAD	FFFFFFFF8229F090	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_LISTEXTATTR_AP	LOAD	FFFFFFFF8229F130	00000013			R	.	.	.	.	.	.
VOP_LISTEXTATTR_APV	LOAD	FFFFFFFF8229F150	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_OPENEXTATTR_AP	LOAD	FFFFFFFF8229F1F0	00000013			R	.	.	.	.	.	.
VOP_OPENEXTATTR_APV	LOAD	FFFFFFFF8229F210	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_DELETEEXTATTR_AP	LOAD	FFFFFFFF8229F2B0	00000013			R	.	.	.	.	.	.
VOP_DELETEEXTATTR_APV	LOAD	FFFFFFFF8229F2D0	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_SETEXTATTR_AP	LOAD	FFFFFFFF8229F370	00000013			R	.	.	.	.	.	.
VOP_SETEXTATTR_APV	LOAD	FFFFFFFF8229F390	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_SETLABEL_AP	LOAD	FFFFFFFF8229F430	00000013			R	.	.	.	.	.	.
VOP_SETLABEL_APV	LOAD	FFFFFFFF8229F450	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_VPTOFH_AP	LOAD	FFFFFFFF8229F4F0	00000013			R	.	.	.	.	.	.
VOP_VPTOFH_APV	LOAD	FFFFFFFF8229F510	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_VPTOCNP_AP	LOAD	FFFFFFFF8229F5B0	00000013			R	.	.	.	.	.	.
VOP_VPTOCNP_APV	LOAD	FFFFFFFF8229F5D0	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_ALLOCATE_AP	LOAD	FFFFFFFF8229F670	00000013			R	.	.	.	.	.	.
VOP_ALLOCATE_APV	LOAD	FFFFFFFF8229F690	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_UNP_BIND_AP	LOAD	FFFFFFFF8229F730	00000013			R	.	.	.	.	.	.
VOP_UNP_BIND_APV	LOAD	FFFFFFFF8229F750	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_UNP_CONNECT_AP	LOAD	FFFFFFFF8229F7F0	00000013			R	.	.	.	.	.	.
VOP_UNP_CONNECT_APV	LOAD	FFFFFFFF8229F810	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_UNP_DETACH_AP	LOAD	FFFFFFFF8229F8B0	00000013			R	.	.	.	.	.	.
VOP_UNP_DETACH_APV	LOAD	FFFFFFFF8229F8D0	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_SPARE4_AP	LOAD	FFFFFFFF8229F970	00000013			R	.	.	.	.	.	.
VOP_SPARE4_APV	LOAD	FFFFFFFF8229F990	00000092	00000018	00000000	R	.	.	.	B	.	.
VOP_SPARE5_AP	LOAD	FFFFFFFF8229FA30	00000013			R	.	.	.	.	.	.
VOP_SPARE5_APV	LOAD	FFFFFFFF8229FA50	00000092	00000018	00000000	R	.	.	.	B	.	.
ata_null_locking	LOAD	FFFFFFFF8229FAF0	0000000E	00000008	00000000	R	.	.	.	B	.	.
ata_null_setmode	LOAD	FFFFFFFF8229FB00	0000000C	00000000	00000000	R	.	.	.	.	.	.
ata_null_getrev	LOAD	FFFFFFFF8229FB10	00000003	00000000	00000000	R	.	.	.	.	.	.
null_msi_count	LOAD	FFFFFFFF8229FB20	00000003	00000000	00000000	R	.	.	.	.	.	.
null_route_interrupt	LOAD	FFFFFFFF8229FB30	00000006	00000000	00000000	R	.	.	.	.	.	.
default_fullname	LOAD	FFFFFFFF8229FB40	000000AD	00000058	00000000	R	.	.	.	B	.	.
default_resize	LOAD	FFFFFFFF8229FBF0	00000006	00000000	00000000	R	.	.	.	.	.	.
default_precheck	LOAD	FFFFFFFF8229FC00	00000003	00000000	00000000	R	.	.	.	.	.	.
default_recover	LOAD	FFFFFFFF8229FC10	00000006	00000000	00000000	R	.	.	.	.	.	.
null_add_child	LOAD	FFFFFFFF8229FC20	00000012	00000008	00000000	.	.	.	.	B	.	.
null_alloc_resource	LOAD	FFFFFFFF8229FC40	00000003	00000000	00000000	R	.	.	.	.	.	.
null_remap_intr	LOAD	FFFFFFFF8229FC50	00000063	00000018	00000000	R	.	.	.	B	.	.
null_shutdown	LOAD	FFFFFFFF8229FCC0	00000003	00000000	00000000	R	.	.	.	.	.	.
null_suspend	LOAD	FFFFFFFF8229FCD0	00000003	00000000	00000000	R	.	.	.	.	.	.
null_resume	LOAD	FFFFFFFF8229FCE0	00000003	00000000	00000000	R	.	.	.	.	.	.
null_quiesce	LOAD	FFFFFFFF8229FCF0	00000006	00000000	00000000	R	.	.	.	.	.	.
default_ihand	LOAD	FFFFFFFF8229FD00	00000003	00000000	00000000	R	.	.	.	.	.	.
default_ipend	LOAD	FFFFFFFF8229FD10	00000006	00000000	00000000	R	.	.	.	.	.	.
default_sysdev	LOAD	FFFFFFFF8229FD20	00000003	00000000	00000000	R	.	.	.	.	.	.
acpi_generic_id_probe	LOAD	FFFFFFFF8229FD30	00000003	00000000	00000000	R	.	.	.	.	.	.
acpi_wmi_generic_provides_guid_string	LOAD	FFFFFFFF8229FD40	00000003	00000000	00000000	R	.	.	.	.	.	.
sce_cam_error_log_init	LOAD	FFFFFFFF8229FD50	00000027			R	.	.	.	.	.	.
sce_cam_error_put	LOAD	FFFFFFFF8229FD80	00000210	00000198	0000000C	R	.	.	.	B	.	.
cam_strvis	LOAD	FFFFFFFF8229FFA0	000000D7	00000000	00000000	R	.	.	.	.	.	.
cam_strmatch	LOAD	FFFFFFFF822A0080	0000006A	00000000	00000000	R	.	.	.	.	.	.
cam_quirkmatch	LOAD	FFFFFFFF822A00F0	0000005C	00000030	00000000	R	.	.	.	B	.	.
cam_fetch_status_entry	LOAD	FFFFFFFF822A0150	00000054	00000018	00000000	R	.	.	.	B	.	.
camstatusentrycomp	LOAD	FFFFFFFF822A01B0	00000005	00000000	00000000	R	.	.	.	.	.	.
cam_error_string	LOAD	FFFFFFFF822A01C0	000003C1	000000C8	00000000	R	.	.	.	B	.	.
cam_error_print	LOAD	FFFFFFFF822A0590	0000005C	00000218	00000000	R	.	.	.	B	.	.
cam_calc_geometry	LOAD	FFFFFFFF822A05F0	00000085	00000000	00000000	R	.	.	.	.	.	.
periphdriver_register	LOAD	FFFFFFFF822A0680	000000C5	00000018	00000000	R	.	.	.	B	.	.
periphdriver_init	LOAD	FFFFFFFF822A0750	00000066	00000010	00000000	R	.	.	.	B	.	.
cam_periph_alloc	LOAD	FFFFFFFF822A07C0	000005D5	000000D8	00000020	R	.	.	.	B	.	.
cam_periph_find	LOAD	FFFFFFFF822A0DA0	0000009F	00000028	00000000	R	.	.	.	B	.	.
cam_periph_list	LOAD	FFFFFFFF822A0E40	000000B9	00000030	00000000	R	.	.	.	B	.	.
cam_periph_acquire	LOAD	FFFFFFFF822A0F00	0000002C	00000010	00000000	R	.	.	.	B	.	.
cam_periph_release_locked	LOAD	FFFFFFFF822A0F30	00000064	00000010	00000000	R	.	.	.	B	.	.
camperiphfree	LOAD	FFFFFFFF822A0FA0	00000157	000004D8	00000000	R	.	.	.	B	.	.
cam_periph_release	LOAD	FFFFFFFF822A1100	0000008B	00000028	00000000	R	.	.	.	B	.	.
cam_periph_hold	LOAD	FFFFFFFF822A1190	00000082	00000020	00000000	R	.	.	.	B	T	.
cam_periph_unhold	LOAD	FFFFFFFF822A1220	00000034	00000010	00000000	R	.	.	.	B	.	.
sce_cam_periph_dev_hold	LOAD	FFFFFFFF822A1260	000000C4	00000020	00000000	R	.	.	.	B	.	.
sce_cam_periph_dev_unhold	LOAD	FFFFFFFF822A1330	0000009B	00000010	00000000	R	.	.	.	B	.	.
cam_periph_invalidate	LOAD	FFFFFFFF822A13D0	00000048	00000010	00000000	R	.	.	.	B	.	.
cam_periph_mapmem	LOAD	FFFFFFFF822A1420	000004BE	00000078	00000000	R	.	.	.	B	.	.
cam_periph_unmapmem	LOAD	FFFFFFFF822A18E0	0000031F	00000038	00000000	R	.	.	.	B	.	.
cam_periph_getccb	LOAD	FFFFFFFF822A1C00	0000007D	00000020	00000000	R	.	.	.	B	.	.
cam_periph_ccbwait	LOAD	FFFFFFFF822A1C80	0000004A	00000010	00000000	R	.	.	.	B	.	.
cam_periph_ioctl	LOAD	FFFFFFFF822A1CD0	00000125	00000028	00000000	R	.	.	.	B	.	.
cam_periph_runccb	LOAD	FFFFFFFF822A1E00	000001BD	000000F8	00000000	R	.	.	.	B	.	.
cam_release_devq	LOAD	FFFFFFFF822A1FC0	0000009A	000000E8	00000000	R	.	.	.	B	.	.
cam_freeze_devq	LOAD	FFFFFFFF822A2060	00000073	000000C8	00000000	R	.	.	.	B	.	.
cam_freeze_devq_arg	LOAD	FFFFFFFF822A20E0	00000075	000000D8	00000000	R	.	.	.	B	.	.
cam_periph_async	LOAD	FFFFFFFF822A2160	00000057	00000010	00000000	R	.	.	.	B	.	.
cam_periph_bus_settle	LOAD	FFFFFFFF822A21C0	0000007C	000000F8	00000000	R	.	.	.	B	.	.
cam_periph_freeze_after_event	LOAD	FFFFFFFF822A2240	00000167	00000108	00000000	R	.	.	.	B	.	.
cam_periph_error	LOAD	FFFFFFFF822A23B0	00000AE0	000006B8	00000000	R	.	.	.	B	.	.
camperiphdone	LOAD	FFFFFFFF822A2E90	000002C5	000005B8	00000000	R	.	.	.	B	.	.
camperiphsensedone	LOAD	FFFFFFFF822A3160	00000187	00000108	00000000	R	.	.	.	B	.	.
camq_alloc	LOAD	FFFFFFFF822A32F0	0000008E	00000018	00000000	R	.	.	.	B	.	.
camq_init	LOAD	FFFFFFFF822A3380	0000006F	00000020	00000000	R	.	.	.	B	.	.
camq_free	LOAD	FFFFFFFF822A33F0	00000045	00000010	00000000	R	.	.	.	B	.	.
camq_fini	LOAD	FFFFFFFF822A3440	0000001F	00000000	00000000	R	.	.	.	.	.	.
camq_resize	LOAD	FFFFFFFF822A3460	0000008B	00000028	00000000	R	.	.	.	B	.	.
camq_insert	LOAD	FFFFFFFF822A34F0	00000075	00000000	00000000	R	.	.	.	.	.	.
camq_remove	LOAD	FFFFFFFF822A3570	00000059	00000018	00000000	R	.	.	.	B	.	.
heap_down	LOAD	FFFFFFFF822A35D0	00000087	00000000	00000000	R	.	.	.	.	.	.
camq_change_priority	LOAD	FFFFFFFF822A3660	00000075	00000000	00000000	R	.	.	.	.	.	.
cam_devq_alloc	LOAD	FFFFFFFF822A36E0	0000006F	00000020	00000000	R	.	.	.	B	.	.
cam_devq_init	LOAD	FFFFFFFF822A3750	00000113	00000030	00000000	R	.	.	.	B	.	.
cam_devq_free	LOAD	FFFFFFFF822A3870	00000056	00000010	00000000	R	.	.	.	B	.	.
cam_devq_resize	LOAD	FFFFFFFF822A38D0	00000100	00000030	00000000	R	.	.	.	B	.	.
cam_ccbq_alloc	LOAD	FFFFFFFF822A39D0	000000B3	00000018	00000000	R	.	.	.	B	.	.
cam_ccbq_init	LOAD	FFFFFFFF822A3A90	00000086	00000020	00000000	R	.	.	.	B	.	.
cam_ccbq_free	LOAD	FFFFFFFF822A3B20	00000045	00000010	00000000	R	.	.	.	B	.	.
cam_ccbq_fini	LOAD	FFFFFFFF822A3B70	0000001F	00000000	00000000	R	.	.	.	.	.	.
cam_ccbq_resize	LOAD	FFFFFFFF822A3B90	000000C0	00000034	00000000	R	.	.	.	B	.	.
cam_simq_alloc	LOAD	FFFFFFFF822A3C50	0000000B	00000000	00000000	R	.	.	.	.	.	.
cam_simq_free	LOAD	FFFFFFFF822A3C60	00000005			R	.	.	.	.	.	.
cam_sim_alloc	LOAD	FFFFFFFF822A3C70	0000011C	00000048	00000018	R	.	.	.	B	.	.
cam_sim_free	LOAD	FFFFFFFF822A3D90	0000005E	00000018	00000000	R	.	.	.	B	T	.
cam_sim_release	LOAD	FFFFFFFF822A3DF0	0000000E	00000000	00000000	R	.	.	.	.	.	.
cam_sim_hold	LOAD	FFFFFFFF822A3E00	00000007	00000000	00000000	R	.	.	.	.	.	.
cam_sim_set_path	LOAD	FFFFFFFF822A3E10	00000004	00000000	00000000	R	.	.	.	.	.	.
xpt_rescan	LOAD	FFFFFFFF822A3E20	000002C8	00000018	00000000	R	.	.	.	B	.	.
xpt_print	LOAD	FFFFFFFF822A40F0	00000071	00000068	00000001	R	.	.	.	B	.	.
xpt_free_path	LOAD	FFFFFFFF822A4170	00000060	00000010	00000000	R	.	.	.	B	.	.
xpt_free_ccb	LOAD	FFFFFFFF822A41D0	0000000C			R	.	.	.	.	.	.
xpt_rescan_done	LOAD	FFFFFFFF822A41E0	0000008B	00000018	00000000	R	.	.	.	B	.	.
xpt_setup_ccb	LOAD	FFFFFFFF822A4270	00000064	00000000	00000000	R	.	.	.	.	.	.
xpt_lock_buses	LOAD	FFFFFFFF822A42E0	00000033	00000000	00000000	R	.	.	.	.	.	.
xpt_path_comp	LOAD	FFFFFFFF822A4320	0000008B	00000000	00000000	R	.	.	.	.	.	.
xpt_unlock_buses	LOAD	FFFFFFFF822A43B0	00000032	00000000	00000000	R	.	.	.	.	.	.
xpt_add_periph	LOAD	FFFFFFFF822A43F0	000000BF	00000020	00000000	R	.	.	.	B	.	.
xpt_remove_periph	LOAD	FFFFFFFF822A44B0	000000D2	00000018	00000000	R	.	.	.	B	.	.
xpt_announce_periph	LOAD	FFFFFFFF822A4590	00000157	00000038	00000000	R	.	.	.	B	.	.
xpt_getattr	LOAD	FFFFFFFF822A46F0	000001EC	000000F8	00000000	R	.	.	.	B	.	.
xpt_action	LOAD	FFFFFFFF822A48E0	00000026			R	.	.	.	.	.	.
xpt_sim_opened	LOAD	FFFFFFFF822A4910	000000F8	00000018	00000000	R	.	.	.	B	.	.
xpt_action_default	LOAD	FFFFFFFF822A4A10	00000B7A	00000030	00000000	R	.	.	.	B	.	.
xpt_run_dev_allocq	LOAD	FFFFFFFF822A5590	0000021F	00000030	00000000	R	.	.	.	B	.	.
xpt_run_dev_sendq	LOAD	FFFFFFFF822A57B0	000002BF	00000038	00000000	R	.	.	.	B	.	.
xpt_freeze_devq	LOAD	FFFFFFFF822A5A70	0000000B			R	.	.	.	.	.	.
xpt_done	LOAD	FFFFFFFF822A5A80	0000010E	00000028	00000000	R	.	.	.	B	.	.
xpt_release_device	LOAD	FFFFFFFF822A5B90	000000ED	00000010	00000000	R	.	.	.	B	.	.
xpt_acquire_device	LOAD	FFFFFFFF822A5C80	00000007	00000000	00000000	R	.	.	.	.	.	.
xpt_dev_ccbq_resize	LOAD	FFFFFFFF822A5C90	00000072	00000020	00000000	R	.	.	.	B	.	.
xpt_release_devq_timeout	LOAD	FFFFFFFF822A5D10	00000011			R	.	.	.	.	.	.
xpt_release_devq_rl	LOAD	FFFFFFFF822A5D30	00000009			R	.	.	.	.	.	.
xpt_freeze_devq_rl	LOAD	FFFFFFFF822A5D40	0000012D	00000018	00000000	R	.	.	.	B	.	.
xpt_polled_action	LOAD	FFFFFFFF822A5E70	00000136	00000038	00000000	R	.	.	.	B	.	.
camisr_runqueue	LOAD	FFFFFFFF822A5FB0	0000032A	00000030	00000000	R	.	.	.	B	.	.
xpt_schedule	LOAD	FFFFFFFF822A62E0	0000012E	00000018	00000000	R	.	.	.	B	.	.
xpt_schedule_dev	LOAD	FFFFFFFF822A6410	0000003D	00000008	00000000	R	.	.	.	B	.	.
xpt_merge_ccb	LOAD	FFFFFFFF822A6450	00000039			R	.	.	.	.	.	.
xpt_create_path	LOAD	FFFFFFFF822A6490	0000008E	00000048	00000000	R	.	.	.	B	.	.
xpt_compile_path	LOAD	FFFFFFFF822A6520	0000023E	00000048	00000000	R	.	.	.	B	.	.
xpt_create_path_unlocked	LOAD	FFFFFFFF822A6760	00000131	00000048	00000000	R	.	.	.	B	.	.
xpt_find_bus	LOAD	FFFFFFFF822A68A0	000000A3	00000020	00000000	R	.	.	.	B	.	.
xpt_release_bus	LOAD	FFFFFFFF822A6950	000000F2	00000018	00000000	R	.	.	.	B	.	.
xpt_release_target	LOAD	FFFFFFFF822A6A50	00000083	00000010	00000000	R	.	.	.	B	.	.
xpt_release_path	LOAD	FFFFFFFF822A6AE0	00000052	00000010	00000000	R	.	.	.	B	.	.
xpt_path_counts	LOAD	FFFFFFFF822A6B40	00000108	00000038	00000000	R	.	.	.	B	.	.
xpt_print_path	LOAD	FFFFFFFF822A6C50	000000DA	00000010	00000000	R	.	.	.	B	.	.
xpt_path_string	LOAD	FFFFFFFF822A6D30	0000013D	00000058	00000000	R	.	.	.	B	.	.
xpt_path_path_id	LOAD	FFFFFFFF822A6E70	00000008	00000000	00000000	R	.	.	.	.	.	.
xpt_path_target_id	LOAD	FFFFFFFF822A6E80	00000012	00000000	00000000	R	.	.	.	.	.	.
xpt_path_lun_id	LOAD	FFFFFFFF822A6EA0	00000012	00000000	00000000	R	.	.	.	.	.	.
xpt_path_sim	LOAD	FFFFFFFF822A6EC0	00000009	00000000	00000000	R	.	.	.	.	.	.
xpt_path_periph	LOAD	FFFFFFFF822A6ED0	00000004	00000000	00000000	R	.	.	.	.	.	.
xpt_path_legacy_ata_id	LOAD	FFFFFFFF822A6EE0	000001E6	00000020	00000000	R	.	.	.	B	.	.
